what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198989093
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267198993890
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267199004296
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267199012437
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267199017375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199027718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199044265
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267199050156
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267199084156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199090437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199401765
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267199454781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199459890
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199459890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199460031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199461843
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267199466937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199472843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199476546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199487437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199517109
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267199527015
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267199531453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199539296
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267199545875
