what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276407718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276409859
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267276419421
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267276421484
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267276421562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276550718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276551937
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267276585171
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267276590406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276864031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276867156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276867671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276876687
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267276877562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276972968
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1267276973015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276981531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276992796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277008515
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267277012281
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267277012375
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267277030359
started,bundle,org.eclipse.jst.server.core,1.1.1.v20080730,org.eclipse.jst.server.core,1267277039343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277039390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277040687
