what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1267700861578
started,bundle,org.eclipse.update.core,3.2.201.R34x_v20080714,org.eclipse.update.core,1267700861625
started,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1267700861671
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1267700861671
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1267700862062
opened,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267700862375
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267700862546
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1267700862765
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1267700862984
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1267700863484
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1267700863484
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1267700863656
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1267700864453
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267700868375
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267700868625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267700897968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267700898062
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267700898406
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267700912890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267700933015
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267700933093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267702364484
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267702366406
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1267702371593
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267702371734
