what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275159968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275220703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275221687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275282718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275283734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275361562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275364515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275425718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275427296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275546703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275553812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275726718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275728531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275789687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275790796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275991703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275992984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276196703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267276197609
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267276236187
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267276246046
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267276247515
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267276249734
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267276249859
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1267276266125
