what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267198473453
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267198474859
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267198475109
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267198481046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198485343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198485390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198485468
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198488734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198490218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198695812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198703359
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198703500
executed,command,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui.localJavaShortcut.run,1267198703578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198739796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198945109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198945546
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198945625
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1267198946687
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1267198946781
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1267198946890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198961140
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198973656
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267198975468
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267198975890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267198985656
