what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267273549578
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267273549578
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267273552187
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267273565609
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267273565687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273568718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273607203
opened,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1267273609656
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267273609765
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267273609765
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267273609796
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267273609796
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1267273609812
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267273609812
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267273609812
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267273609843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273671703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273672656
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273733562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273734609
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273795578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273798203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273858703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273913421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273974578
