what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267688593796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688605171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688605171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688605578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688614921
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267688624046
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267688624125
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267688624171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688639984
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688675343
executed,command,,,AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction,1267688675843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688694046
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688694046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688694187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688700578
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267688731046
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267688743375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688744843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688744859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688744968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267688756328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267688763296
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267688767484
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1267688811328
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1267688811343
