what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1267687463796
started,bundle,org.eclipse.update.core,3.2.201.R34x_v20080714,org.eclipse.update.core,1267687463796
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1267687463796
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1267687463828
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1267687463906
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1267687463921
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1267687463921
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1267687463937
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1267687464218
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1267687464593
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267687465156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267687471781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267687490703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267687511828
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1267687514390
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1267687514734
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1267687521265
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1267687521484
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267687521812
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267687521921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267687584937
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267687587046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267687647953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267687670984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267687687281
