what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267238795125
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267238799375
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267238799421
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.refresh,1267238802359
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267238860875
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267238862546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267238866125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267238868703
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267238872500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267238945484
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267238945484
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267238945578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267239379578
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267239383437
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267239385296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267239390453
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267239390468
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267239390609
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273197031
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267273198968
activated,editor,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1267273202250
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267273206125
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267273216484
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267273273406
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267273326671
