what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.j2ee.jca,1.1.202.v200809102205,org.eclipse.jst.j2ee.jca,1267237839765
started,bundle,org.eclipse.jst.j2ee.web,1.1.201.v200807290757,org.eclipse.jst.j2ee.web,1267237839796
started,bundle,org.eclipse.jpt.core,2.0.101.v200809020200,org.eclipse.jpt.core,1267237839937
started,bundle,org.eclipse.jst.jsf.ui,1.1.101.v20080909,org.eclipse.jst.jsf.ui,1267237840031
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267237840156
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267237842984
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267237843078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267237876625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267237903250
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267237918093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267237918093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267237918203
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267237920859
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267237934390
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1267237952265
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1267237952296
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267237953281
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1267237953312
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267237956562
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1267237957500
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1267237957734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267237958156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267237961203
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267237964828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267237976812
