what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.team.ui,1267277431187
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1267277431203
started,bundle,org.eclipse.update.core,3.2.201.R34x_v20080714,org.eclipse.update.core,1267277431203
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1267277431203
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1267277431250
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1267277431390
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1267277431406
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1267277431421
started,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1267277431453
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1267277431578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277475718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277696546
started,bundle,org.eclipse.wst.sse.core,1.1.302.v200808260045,org.eclipse.wst.sse.core,1267277698296
started,bundle,org.eclipse.wst.xml.core,1.1.305.v200809120354,org.eclipse.wst.xml.core,1267277698312
started,bundle,org.eclipse.wst.sse.ui,1.1.2.v200809120159,org.eclipse.wst.sse.ui,1267277698484
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267277698531
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267277698625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277712750
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277712750
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277712765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277771000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277771156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277772687
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277772812
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1267277773125
