what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267277041734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277042687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277045875
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267277046218
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277054859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277054875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277054968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277076125
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267277079906
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267277080000
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267277102687
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277145812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277145812
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277145921
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277157250
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267277216281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277288734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277292078
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1267277292234
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1267277292250
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1267277292281
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1267277292296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277292359
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277296343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267277364109
