what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267716898359
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267716898359
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267716898468
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267717445796
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267717447718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267717447718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267717447828
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267718440078
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267718441578
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267718443171
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1267718443281
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1267718443296
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1267718443328
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1267718443328
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267718443546
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1267718444015
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1267718444031
