what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267273976437
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267274042703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267274087437
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267274141703
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267274141828
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267274489718
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267274490546
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1267274591015
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267274592687
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267274594406
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267274594703
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1267274597718
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267274604234
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1267274663328
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267274665734
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267274666796
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267274726515
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1267274729984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267274910703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267274916578
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275039703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275040921
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267275067609
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267275096406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267275158687
