what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws,1.1.2.v200809081517,org.eclipse.wst.ws,1267176415500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267176415984
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267176423781
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267176423796
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.properties,1267176423843
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267176432781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267189395515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267189398953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267189400953
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267189405015
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196039500
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196041984
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196042031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196042109
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196047093
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196048359
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196048406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196048468
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196795312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196802656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196892781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196892812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196892859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267196906593
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267197369656
